0.014999250037498125 ('DAI62779', 'GRO17075')
0.015149242537873106 ('DAI62779', 'SNA31619')
0.015149242537873106 ('DAI62779', 'SNA55617')
0.015149242537873106 ('DAI62779', 'SNA74022')
0.015149242537873106 ('DAI62779', 'SNA82528')
0.015299235038248088 ('DAI62779', 'DAI33336')
0.015299235038248088 ('DAI62779', 'GRO29598')
0.01544922753862307 ('DAI62779', 'ELE20196')
0.01544922753862307 ('DAI62779', 'GRO30912')
0.01559922003899805 ('DAI62779', 'ELE60381')
0.01559922003899805 ('DAI62779', 'ELE86561')
0.01559922003899805 ('DAI62779', 'FRO73056')
0.01559922003899805 ('DAI62779', 'GRO82670')
0.015899205039748013 ('DAI62779', 'DAI50921')
0.015899205039748013 ('DAI62779', 'SNA44190')
0.016049197540122993 ('DAI62779', 'ELE36909')
0.016049197540122993 ('DAI62779', 'FRO43226')
0.016349182540872958 ('DAI62779', 'DAI67621')
0.016499175041247937 ('DAI62779', 'DAI73122')
0.01664916754162292 ('DAI62779', 'GRO89148')
0.0167991600419979 ('DAI62779', 'SNA30755')
0.01694915254237288 ('DAI62779', 'ELE20398')
0.017099145042747864 ('DAI62779', 'SNA90258')
0.017249137543122843 ('DAI62779', 'SNA40408')
0.017249137543122843 ('DAI62779', 'SNA42528')
0.017549122543872805 ('DAI62779', 'DAI42083')
0.017549122543872805 ('DAI62779', 'DAI88079')
0.017699115044247787 ('DAI62779', 'DAI94679')
0.017699115044247787 ('DAI62779', 'FRO98184')
0.017699115044247787 ('DAI62779', 'SNA49107')
0.01784910754462277 ('DAI62779', 'DAI29159')
0.01784910754462277 ('DAI62779', 'ELE85027')
0.01799910004499775 ('DAI62779', 'ELE81534')
0.018299085045747714 ('DAI62779', 'SNA29014')
0.018449077546122693 ('DAI62779', 'DAI22534')
0.018449077546122693 ('DAI62779', 'ELE12845')
0.018599070046497676 ('DAI62779', 'GRO81647')
0.018749062546872655 ('DAI62779', 'GRO24246')
0.01949902504874756 ('DAI62779', 'GRO95519')
0.019799010049497526 ('DAI62779', 'ELE24630')
0.019799010049497526 ('DAI62779', 'SNA43319')
0.019949002549872506 ('DAI62779', 'FRO24098')
0.019949002549872506 ('DAI62779', 'GRO18367')
0.019949002549872506 ('DAI62779', 'GRO23573')
0.020098995050247488 ('DAI62779', 'ELE69552')
0.020248987550622467 ('DAI62779', 'ELE25077')
0.02039898005099745 ('DAI62779', 'DAI67189')
0.020548972551372433 ('DAI62779', 'SNA20554')
0.020998950052497377 ('DAI62779', 'SNA59061')
0.021148942552872356 ('DAI62779', 'SNA69641')
0.02129893505324734 ('DAI62779', 'DAI48126')
0.021448927553622318 ('DAI62779', 'DAI59508')
0.022048897555122245 ('DAI62779', 'ELE88583')
0.022048897555122245 ('DAI62779', 'FRO98729')
0.022048897555122245 ('DAI62779', 'GRO88505')
0.022198890055497224 ('DAI62779', 'ELE49801')
0.022348882555872206 ('DAI62779', 'SNA50789')
0.02249887505624719 ('DAI62779', 'GRO50832')
0.022648867556622168 ('DAI62779', 'DAI22240')
0.022648867556622168 ('DAI62779', 'ELE87456')
0.02279886005699715 ('DAI62779', 'SNA57865')
0.02294885255737213 ('DAI62779', 'ELE37770')
0.023098845057747112 ('DAI62779', 'SNA93730')
0.023248837558122095 ('DAI62779', 'GRO56989')
0.023398830058497074 ('DAI62779', 'GRO32086')
0.02369881505924704 ('DAI62779', 'DAI88352')
0.02369881505924704 ('DAI62779', 'FRO89565')
0.02384880755962202 ('DAI62779', 'GRO68067')
0.024448777561121945 ('DAI62779', 'GRO35122')
0.024598770061496925 ('DAI62779', 'SNA12663')
0.02504874756262187 ('DAI62779', 'FRO61354')
0.02504874756262187 ('DAI62779', 'GRO69543')
