0.06469849246231156 ('DAI62779', 'ELE17451', 'DAI31081')
0.06469849246231156 ('ELE17451', 'DAI62779', 'DAI31081')
0.06846733668341709 ('DAI62779', 'ELE17451', 'DAI91290')
0.07035175879396985 ('DAI62779', 'ELE17451', 'DAI42493')
0.07035175879396985 ('ELE17451', 'DAI62779', 'DAI42493')
0.07294617563739376 ('FRO40251', 'SNA80324', 'DAI31081')
0.07294617563739376 ('FRO40251', 'SNA80324', 'GRO30386')
0.07294617563739376 ('SNA80324', 'FRO40251', 'DAI31081')
0.07365439093484419 ('FRO40251', 'SNA80324', 'FRO80039')
0.07365439093484419 ('FRO40251', 'SNA80324', 'SNA55762')
0.07507082152974505 ('FRO40251', 'SNA80324', 'GRO38814')
0.07719546742209632 ('FRO40251', 'SNA80324', 'GRO81087')
0.08144475920679886 ('FRO40251', 'SNA80324', 'FRO53271')
0.08213716108452951 ('DAI75645', 'FRO40251', 'DAI85309')
0.08356940509915015 ('FRO40251', 'SNA80324', 'GRO21487')
0.08408903544929926 ('FRO40251', 'GRO85051', 'DAI31081')
0.08408903544929926 ('GRO85051', 'FRO40251', 'DAI31081')
0.08656224237427865 ('FRO40251', 'GRO85051', 'FRO53271')
0.08711048158640226 ('FRO40251', 'SNA80324', 'DAI55148')
0.08711048158640226 ('SNA80324', 'FRO40251', 'DAI55148')
0.08779631255487269 ('DAI62779', 'GRO73461', 'FRO31317')
0.08867427568042142 ('DAI62779', 'GRO73461', 'DAI22896')
0.08867427568042142 ('GRO73461', 'DAI62779', 'DAI22896')
0.08923512747875353 ('FRO40251', 'SNA80324', 'SNA45677')
0.09026548672566372 ('DAI75645', 'SNA80324', 'GRO38814')
0.09135977337110482 ('FRO40251', 'SNA80324', 'GRO94758')
0.09233668341708542 ('DAI62779', 'ELE17451', 'DAI83733')
0.09380530973451327 ('DAI75645', 'SNA80324', 'ELE74009')
0.09419263456090651 ('FRO40251', 'SNA80324', 'ELE26917')
0.09419263456090651 ('SNA80324', 'FRO40251', 'ELE26917')
0.0942211055276382 ('DAI62779', 'ELE17451', 'DAI55148')
0.0942211055276382 ('ELE17451', 'DAI62779', 'DAI55148')
0.09480626545754328 ('FRO40251', 'GRO85051', 'GRO38814')
0.09557522123893805 ('DAI75645', 'SNA80324', 'GRO81087')
0.09569377990430622 ('DAI75645', 'FRO40251', 'DAI55148')
0.09569377990430622 ('FRO40251', 'DAI75645', 'DAI55148')
0.09728867623604466 ('DAI75645', 'FRO40251', 'DAI31081')
0.09728867623604466 ('FRO40251', 'DAI75645', 'DAI31081')
0.09823008849557523 ('DAI75645', 'SNA80324', 'SNA45677')
0.09844192634560907 ('FRO40251', 'SNA80324', 'DAI88079')
0.09844192634560907 ('SNA80324', 'FRO40251', 'DAI88079')
0.0989282769991756 ('FRO40251', 'GRO85051', 'GRO21487')
0.10056657223796034 ('FRO40251', 'SNA80324', 'GRO71621')
0.10186915887850467 ('DAI62779', 'FRO40251', 'ELE26917')
